ID;Country_Code;Province;Latitude;Longitude;Date;Day;Month;Year
229;EC;;-0.5338;-76.3669;7/31/2020;31;7;2020
230;EC;;-0.7843;-75.9047;8/27/2022;27;8;2022
231;EC;;-0.9757;-75.4338;7/27/2021;27;7;2021
232;EC;;-1.192;-76.9463;10/20/2021;20;10;2021
233;EC;;-0.7817;-75.9059;3/3/2020;3;3;2020
234;EC;;-0.5575;-76.3886;9/27/2020;27;9;2020
235;EC;;-0.8164;-75.9086;7/31/2023;31;7;2023
236;EC;;-0.978;-75.6359;2/9/2023;9;2;2023
237;EC;;-0.7837;-75.9063;5/12/2022;12;5;2022
238;EC;;-0.5297;-76.3873;7/6/2020;6;7;2020
239;EC;;-0.6437;-75.9166;7/23/2022;23;7;2022
240;EC;;-0.9761;-75.4416;6/17/2023;17;6;2023
241;EC;;-0.532;-76.3701;3/4/2020;4;3;2020
242;EC;;-0.739;-75.9219;3/21/2023;21;3;2023
243;EC;;-0.8556;-75.6181;3/9/2020;9;3;2020
244;EC;;-0.9801;-75.4265;8/8/2021;8;8;2021
245;EC;;-0.7764;-75.9059;5/28/2023;28;5;2023
246;EC;;-0.5245;-76.3896;2/18/2021;18;2;2021
247;EC;;-0.8908;-76.8147;2/22/2021;22;2;2021
248;EC;;-0.7546;-75.9089;5/3/2023;3;5;2023
249;EC;;-0.7642;-75.9059;3/21/2023;21;3;2023
250;EC;;-0.8512;-75.9256;6/6/2022;6;6;2022
251;EC;;-0.7517;-75.9141;12/22/2022;22;12;2022
252;EC;;-0.5303;-76.3781;1/15/2021;15;1;2021
253;EC;;-0.5347;-76.4011;2/15/2020;15;2;2020
254;EC;;-0.7603;-75.9072;1/12/2022;12;1;2022
255;EC;;-0.8238;-75.6174;7/3/2023;3;7;2023
256;EC;;-0.816;-75.9082;2/17/2022;17;2;2022
257;EC;;-0.7835;-75.9059;5/30/2023;30;5;2023
258;EC;;-0.6639;-75.9164;2/21/2023;21;2;2023
259;EC;;-1.0283;-75.4361;4/12/2023;12;4;2023
